Trascrizione,Standard,Gruppo 0,Gruppo 1,Gruppo 2,Gruppo 3,Gruppo 4,Corporazione
getador da caratteri da stampa,getador da caratteri da stampa,fonditore di caratteri da stampa,fonditori - stampa,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
gittador da argenti,gettador da argenti,fonditore di argento,zecca,stampa,altre lavorazioni manifatturiere,beni,zecca
gittador da lettere da stampa,getador da caratteri da stampa,fonditore di caratteri da stampa,fonditori - stampa,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
gittador da ori,gettador da ori,fonditore di oro,zecca,stampa,altre lavorazioni manifatturiere,beni,zecca
gittador de lettere da stampa,getador da caratteri da stampa,fonditore di caratteri da stampa,fonditori - stampa,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
in tenir libri,librer,libraio,librai - diverse specializzazioni,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
indorador,indorador,indoratore,indoratore,indoradore,decorazioni e mestieri dell'arte,beni,dipintori
indorador,indorador,indoratore,indoratore,indoradore,decorazioni e mestieri dell'arte,beni,dipintori
indorar libri,indorar libri,decoratore,decoratore,decorazioni e mestieri dell'arte,decorazioni e mestieri dell'arte,beni,dipintori
indorator,indorador,indoratore,indoratore,indoradore,decorazioni e mestieri dell'arte,beni,dipintori
intagiador,intagiador,intagliatore,intagliatore - diverse specializzazioni,legno,altre lavorazioni manifatturiere,beni,intagliatori
intagiador,intagiador,intagliatore,intagliatore - diverse specializzazioni,legno,altre lavorazioni manifatturiere,beni,intagliatori
intagiador da legname,intagiador da legname,intagliatore di legno,intagliatore - diverse specializzazioni,legno,altre lavorazioni manifatturiere,beni,intagliatori
intagiador da piere,intagiador da piera,intagliatore di pietra,intagliatore - diverse specializzazioni,legno,altre lavorazioni manifatturiere,beni,intagliatori
intagiador de legname,intagiador da legname,intagliatore di legno,intagliatore - diverse specializzazioni,legno,altre lavorazioni manifatturiere,beni,intagliatori
intagiador de legnami,intagiador da legname,intagliatore di legno,intagliatore - diverse specializzazioni,legno,altre lavorazioni manifatturiere,beni,intagliatori
intagiador di rame,intagiador da rame,intagliatore di rame,intagliatore - diverse specializzazioni,legno,altre lavorazioni manifatturiere,beni,intagliatori
intagliador,intagiador,intagliatore,intagliatore - diverse specializzazioni,legno,altre lavorazioni manifatturiere,beni,intagliatori
intagliator,intagiador,intagliatore,intagliatore - diverse specializzazioni,legno,altre lavorazioni manifatturiere,beni,intagliatori
latonaro,latoner,lavorazione dell'ottone,ottonaio,ottone,oggettistica,beni,orefici e gioiellieri
latoner,latoner,lavorazione dell'ottone,ottonaio,ottone,oggettistica,beni,orefici e gioiellieri
lauter,liuter,liutaio,liutaio,musica,altri servizi,servizi,
lavorar da rimessi,marangon da remessi,impiallacciatore,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
lavorar de remessi,marangon da remessi,impiallacciatore,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
