Trascrizione,Standard,Gruppo 0,Gruppo 1,Gruppo 2,Gruppo 3,Gruppo 4,Corporazione
spechier,spechier,specchiaio,specchiaio,vetro,oggettistica,beni,specchieri
spechier,spechier,specchiaio,specchiaio,vetro,oggettistica,beni,specchieri
spechiera,spechier,specchiaio,specchiaio,vetro,oggettistica,beni,specchieri
spetiale di cere,specier da cere,speziale e venditore di cere,speziale,spezieria,commercio,servizi,spezieri
spitier et cerer,specier e cerer,speziale e venditore di cere,speziale,spezieria,commercio,servizi,spezieri
squerariol,squerariol,lavori allo squero,lavori allo squero,navali,costruzioni,beni,squeraroli
squerariol,squerariol,lavori allo squero,lavori allo squero,navali,costruzioni,beni,squeraroli
squerarol,squerariol,lavori allo squero,lavori allo squero,navali,costruzioni,beni,squeraroli
stampador,stampador,stampatore,stampatori - diverse specializzazioni,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
stampador,stampador,stampatore,stampatori - diverse specializzazioni,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
stampador al componer,stampador al componer,compositore,stampatori - diverse specializzazioni,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
stampador al torcollo,stampador al torcollo,torcolaio,stampatori - diverse specializzazioni,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
stampador al torcolo,stampador al torcollo,torcolaio,stampatori - diverse specializzazioni,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
stampador alle casse,stampador alle casse,stampatore,stampatori - diverse specializzazioni,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
stampador da torcolo,torcoler,torcolaio,stampatori - diverse specializzazioni,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
stampador de rame,stampador in rame,stampatore,stampatori - diverse specializzazioni,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
stampador di libri al torcolo,torcoler,torcolaio,stampatori - diverse specializzazioni,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
stampator,stampator,stampatore,stampatori - diverse specializzazioni,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
stampator al componer,stampador al componer,compositore,stampatori - diverse specializzazioni,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
stampator in carta,stampador in carta,stampatore,stampatori - diverse specializzazioni,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
suonador di manacordi,suonador di manacordi,suonatore di manacordi,suonatore,musica,altri servizi,servizi,sonadori
supialume,supialume,perlaio,perlaio,vetro,oggettistica,beni,paternosteri e cristalleri
tagialume,supialume,perlaio,perlaio,vetro,oggettistica,beni,paternosteri e cristalleri
tagialume  ossia perleri,supialume,perlaio,perlaio,vetro,oggettistica,beni,paternosteri e cristalleri
tagialume ossia perleri,perler,perlaio,perlaio,vetro,oggettistica,beni,paternosteri e cristalleri
tagiapera,tagiapiera,tagliapietra,tagliapietra,edilizia,costruzioni,beni,taiapiera
tagiapiera,tagiapiera,tagliapietra,tagliapietra,edilizia,costruzioni,beni,taiapiera
tagiapiera,tagiapiera,tagliapietra,tagliapietra,edilizia,costruzioni,beni,taiapiera
tagiapiere,tagiapiera,tagliapietra,tagliapietra,edilizia,costruzioni,beni,taiapiera
tagiapietra,tagiapiera,tagliapietra,tagliapietra,edilizia,costruzioni,beni,taiapiera
tagiapietra proto,tagiapiera,tagliapietra,tagliapietra,edilizia,costruzioni,beni,taiapiera
taglia piera,tagiapiera,tagliapietra,tagliapietra,edilizia,costruzioni,beni,taiapiera
tagliapiera,tagiapiera,tagliapietra,tagliapietra,edilizia,costruzioni,beni,taiapiera
tagliapietra,tagiapiera,tagliapietra,tagliapietra,edilizia,costruzioni,beni,taiapiera
taglipietra,tagiapiera,tagliapietra,tagliapietra,edilizia,costruzioni,beni,taiapiera
taiapiera,tagiapiera,tagliapietra,tagliapietra,edilizia,costruzioni,beni,taiapiera
tamburino,tamburin,suonatore,suonatore,musica,altri servizi,servizi,sonadori
targher,targher,fabbricatore di scudi,fabbricatore di scudi,metalli,altre lavorazioni manifatturiere,beni,dipintori
teraoro,tiraoro,tiraoro,fabbricatore di foglie/fili/cordelle d'oro o argento,oro e preziosi,oggettistica,beni,"battioro, stagnoli e colori"
terasser,terazzer,lastricatore,lastricatore,edilizia,costruzioni,beni,terrazeri
terazer,terazzer,lastricatore,lastricatore,edilizia,costruzioni,beni,terrazeri
terazzer,terazzer,lastricatore,lastricatore,edilizia,costruzioni,beni,terrazeri
terrazer,terazzer,lastricatore,lastricatore,edilizia,costruzioni,beni,terrazeri
tira oro,tiraoro,tiraoro,fabbricatore di foglie/fili/cordelle d'oro o argento,oro e preziosi,oggettistica,beni,"battioro, stagnoli e colori"
tiraoro,tiraoro,tiraoro,fabbricatore di foglie/fili/cordelle d'oro o argento,oro e preziosi,oggettistica,beni,"battioro, stagnoli e colori"
tiraoro,tiraoro,tiraoro,fabbricatore di foglie/fili/cordelle d'oro o argento,oro e preziosi,oggettistica,beni,"battioro, stagnoli e colori"
torcoler,torcoler,torcolaio,stampatori - diverse specializzazioni,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
tornidor,tornidor,tornitore,tornitore,tornitore,altre lavorazioni manifatturiere,beni,tornidori e bossoleri
tornidor da avorio,tornidor da avorio,tornitore da avorio,tornitore,tornitore,altre lavorazioni manifatturiere,beni,tornidori e bossoleri
tornidor da legno,tornidor da legno,tornitore da legno,tornitore,tornitore,altre lavorazioni manifatturiere,beni,tornidori e bossoleri
tornidor da ottone,tornidor da ottone,tornitore da legno,tornitore,tornitore,altre lavorazioni manifatturiere,beni,tornidori e bossoleri
verer,verier,vetraio,vetraio,vetro,oggettistica,beni,verieri di Murano
verier,verier,vetraio,vetraio,vetro,oggettistica,beni,verieri di Murano
vetrer,verier,vetraio,vetraio,vetro,oggettistica,beni,verieri di Murano
zimbaner,cimbaner,cimbalaio,fabbricatore di strumenti musicali,musica,altri servizi,servizi,
zirador delli caratteri da stampa,getador da caratteri da stampa,fonditore di caratteri da stampa,fonditori - stampa,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
zittador da stampe,getador da caratteri da stampa,fonditore di caratteri da stampa,fonditori - stampa,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
zogeler,zogeler,gioielliere,gioielliere,oro e preziosi,oggettistica,beni,orefici e gioiellieri
zogelier,zogeler,gioielliere,gioielliere,oro e preziosi,oggettistica,beni,orefici e gioiellieri
zogielier,zogeler,gioielliere,gioielliere,oro e preziosi,oggettistica,beni,orefici e gioiellieri
zogiolier,zogeler,gioielliere,gioielliere,oro e preziosi,oggettistica,beni,orefici e gioiellieri
