Aleph system no.;Country code;Language code (008);Language code (041);DDC;Personal author;Corporate author;Title;Edition;Imprint;Series;Subjects;Other personal authors;Other corporate authors;DOM ID;Type;Genre;first_pdf
14872627;|||;eng;;;PRICE, Eleanor Catharine.;;The Little One. [A novel.] [electronic resource];;London : Bentley & Son, 1891 [1890].;;;;;lsidyv36ccbea9 -- lsidyv36ccb7b0;novel;Prose;lsidyv36ccbea9
14826961;|||;eng;;;Parker, Gilbert, 1862-1932.;;Pierre and his People. Tales of the far North. [electronic resource];;London : Methuen & Co., 1892.;;;;;lsidyv38e14264;tale;Prose;lsidyv38e14264
14891534;|||;eng;;;NORTHROP, Henry H.;;"The History of the French Revolution, 1789 to 1795; or a country without a God. [electronic resource]";;Richmond, VaA. : Franklin Publishing Co., 1890.;;;;;lsidyv37a334ea;story;Prose;lsidyv37a334ea
14872013;|||;eng;;;HUNNEWELL, James Frothingham.;;A Century of Town Life: a history of Charlestown, Massachusetts, 1775-1887. With ... plans and views. [electronic resource];;Boston [Mass.] : Little, Brown, and Co., 1888 (Cambridge [Mass., printed]);;;;;lsidyv37283e4c;story;Prose;lsidyv37283e4c
14829383;|||;eng;;;SHATTUCK, Lemuel.;;Report to the Committee of the City Council appointed to obtain the census of Boston for the year 1845, embracing collateral facts and statical researches, illustrating the history and condition of the population, and their means of progress and prosperity. [electronic resource];;Boston, 1846.;;;;;lsidyv30b6b5c6;story;Prose;lsidyv30b6b5c6
14873119;|||;eng;;;WHITE, Henry, B.A., Ph. D.;;"[Elements of Universal History, on a new and systematic plan; from the earliest times to the Treaty of Vienna. To which is added a summary of the leading events since that period.] [electronic resource]";Seventh edition.;Edinburgh, 1857.;;;;;lsidyv372e5963;story;Prose;lsidyv372e5963
15742622;|||;eng;;;BEECHAM, Kennett J.;;History of Cirencester and the Roman City Corinium ... Illustrated. [electronic resource];;Cirencester : G. H. Harmer, [1887];;;;;lsidyv354dcd86;story;Prose;lsidyv354dcd86
14806613;|||;eng;;;C., W. J., an Old Rider.;;Romances of the Wheel, a collection of romantic cycling tales. By W. J. C., an old rider [i.e. W. J. Coppen]. [electronic resource];;Coventry : Iliffe & Son, 1880.;;;Coppen, W. J.;;lsidyv35420ba6;romance;Prose;lsidyv35420ba6
14832136;|||;eng;;;WILKINS, Charles, of Merthyr Tydfil.;;The History of Merthyr Tydfil. [electronic resource];;Merthyr Tydfil, 1867.;;;;;lsidyv2b387654;story;Prose;lsidyv2b387654
14806097;|||;eng;;;Brown, Cornelius.;;The Annals of Newark-upon-Trent, comprising the history, curiosities, and antiquities of the borough ... Illustrated with engravings and autographs, etc. [electronic resource];;London : H. Sotheran & Co., 1879.;;;;;lsidyv3c35d45e;story;Prose;lsidyv3c35d45e
